motif1	motif1_count	motif2	motif2_count	overlap	universe_count
TATA	511	Inr	1501	98	8289
TATA	511	DPE	147	4	8289
TATA	511	Motif7	604	10	8289
TATA	511	Motif1	649	6	8289
TATA	511	Motif6	287	4	8289
TATA	511	GAGA	359	19	8289
TATA	511	DRE	1593	21	8289
Inr	1501	DPE	147	43	8289
Inr	1501	Motif7	604	34	8289
Inr	1501	Motif1	649	17	8289
Inr	1501	Motif6	287	12	8289
Inr	1501	GAGA	359	100	8289
Inr	1501	DRE	1593	67	8289
DPE	147	Motif7	604	2	8289
DPE	147	Motif1	649	4	8289
DPE	147	Motif6	287	3	8289
DPE	147	GAGA	359	14	8289
DPE	147	DRE	1593	4	8289
Motif7	604	Motif1	649	18	8289
Motif7	604	Motif6	287	9	8289
Motif7	604	GAGA	359	1	8289
Motif7	604	DRE	1593	282	8289
Motif1	649	Motif6	287	64	8289
Motif1	649	GAGA	359	8	8289
Motif1	649	DRE	1593	95	8289
Motif6	287	GAGA	359	0	8289
Motif6	287	DRE	1593	26	8289
GAGA	359	DRE	1593	6	8289
