CHR	START	END
CHR3R	172024	173080
CHR3R	659428	661866
CHR3R	677662	679038
CHR3R	690973	691454
CHR3R	726967	727950
CHR3R	2503874	2505155
CHR3R	2508548	2509201
CHR3R	2566923	2568434
CHR3R	2616333	2618177
CHR3R	2671032	2672542
CHR3R	2673610	2677037
CHR3R	2707246	2708498
CHR3R	2711864	2712775
CHR3R	2718770	2719820
CHR3R	2728486	2730138
CHR3R	2738501	2739963
CHR3R	2756234	2756588
CHR3R	2763487	2763942
CHR3R	2803103	2803929
CHR3R	2804074	2804534
CHR3R	2817313	2818447
CHR3R	2824961	2826991
CHR3R	2862468	2863762
CHR3R	3762686	3763239
CHR3R	3788532	3789513
CHR3R	4006494	4008387
CHR3R	4016352	4017915
CHR3R	4159256	4160933
CHR3R	4509949	4510775
CHR3R	4531072	4531471
CHR3R	6193685	6194430
CHR3R	6361498	6361873
CHR3R	6439873	6440619
CHR3R	6442608	6443053
CHR3R	6447780	6448525
CHR3R	6490184	6491481
CHR3R	7086337	7087597
CHR3R	7128670	7129142
CHR3R	7179165	7179842
CHR3R	8070121	8070819
CHR3R	8104359	8105105
CHR3R	8106467	8107185
CHR3R	8889474	8892018
CHR3R	8900273	8901357
CHR3R	9700196	9701180
CHR3R	9702833	9704043
CHR3R	9721747	9723307
CHR3R	9726716	9728088
CHR3R	9749072	9749517
CHR3R	9756010	9756474
CHR3R	10481341	10482111
CHR3R	11818831	11819177
CHR3R	11835095	11836135
CHR3R	11849493	11852442
CHR3R	11863651	11864106
CHR3R	12210913	12211845
CHR3R	12228599	12230415
CHR3R	12232096	12232547
CHR3R	12239167	12240392
CHR3R	12249018	12249606
CHR3R	12487344	12488094
CHR3R	12527893	12529448
CHR3R	12541299	12541949
CHR3R	12544112	12544897
CHR3R	12545616	12546571
CHR3R	12575466	12576670
CHR3R	12588805	12590325
CHR3R	12591215	12591600
CHR3R	12597773	12598127
CHR3R	12637017	12638129
CHR3R	12641385	12641730
CHR3R	12654953	12655405
CHR3R	12655658	12656488
CHR3R	12663116	12663837
CHR3R	12672624	12674524
CHR3R	12675920	12676474
CHR3R	12683265	12684420
CHR3R	12694711	12696068
CHR3R	12708210	12709164
CHR3R	12711585	12712873
CHR3R	12724103	12726400
CHR3R	12738475	12740067
CHR3R	12744638	12746149
CHR3R	12746291	12747288
CHR3R	12748892	12750057
CHR3R	12759611	12761006
CHR3R	12763808	12764315
CHR3R	12773448	12775691
CHR3R	12782921	12787069
CHR3R	12794105	12797111
CHR3R	13383142	13384059
CHR3R	13384200	13384651
CHR3R	13392295	13392852
CHR3R	13947135	13947783
CHR3R	14061443	14061907
CHR3R	14196925	14198276
CHR3R	14198480	14199338
CHR3R	14749010	14750107
CHR3R	17203614	17205474
CHR3R	17259599	17260843
CHR3R	17271662	17272421
CHR3R	17285737	17286486
CHR3R	17296267	17297243
CHR3R	17324055	17325961
CHR3R	17383307	17384258
CHR3R	17384760	17385146
CHR3R	17386868	17387325
CHR3R	17387468	17388041
CHR3R	18958688	18959652
CHR3R	18967317	18968895
CHR3R	18969483	18970042
CHR3R	19025868	19027742
CHR3R	19032485	19033105
CHR3R	19036800	19038005
CHR3R	19118628	19119415
CHR3R	19120969	19121414
CHR3R	20905959	20907408
CHR3R	20907849	20908299
CHR3R	20919984	20921248
CHR3R	21924409	21925517
CHR3R	24372649	24373828
CHR3R	24410799	24412067
CHR3R	25352502	25353061
CHR3R	25381103	25382525
CHR3R	25397575	25398720
CHR3R	25516067	25517593
CHR3R	25517745	25518695
CHR3R	26099127	26100067
CHR3R	26101807	26102881
CHR3R	26589453	26591211
CHR3R	26591450	26592195
CHR3R	26592350	26593476
CHR3R	26598055	26599292
CHR3R	26606873	26609119
CHR3R	26677499	26677847
CHR3R	26734403	26734782
CHR3R	26734929	26735683
CHR3R	26737385	26739077
CHR3R	26887576	26888772
CHR3R	27896019	27905028
CHR2R	1233708	1235523
CHR2R	2929848	2931842
CHR2R	3530181	3531126
CHR2R	3533013	3533912
CHR2R	3535685	3536639
CHR2R	3540809	3543452
