fb_tx_id	mean_conservation
Custom_amos	0.607300699
Custom_ato	0.777971498
Custom_CG9775	0.545924903
Custom_CG9883	0.518481392
Custom_Egfr	0.642996793
Custom_kni	0.673187785
Custom_mir-9a	0.569343126
Custom_roX1	0.296826374
Custom_slam	0.758087327
Custom_Taf4	0.635855662
FBtr0005088	0.632467599
FBtr0005673	0.560443438
FBtr0005674	0.535236544
FBtr0006151	0.562452509
FBtr0070000	0.461005301
FBtr0070002	0.450715216
FBtr0070003	0.22200073
FBtr0070006	0.355924097
FBtr0070007	0.615184659
FBtr0070008	0.599589939
FBtr0070025	0.513976386
FBtr0070026	0.489961836
FBtr0070027	0.200720656
FBtr0070028	0.439356217
FBtr0070029	0.207971533
FBtr0070032	0.526117497
FBtr0070033	0.404040759
FBtr0070034	0.42195051
FBtr0070035	0.295181416
FBtr0070036	0.371867458
FBtr0070038	0.168678797
FBtr0070040	0.094471391
FBtr0070042	0.304626538
FBtr0070045	0.06765933
FBtr0070046	0.182532349
FBtr0070050	0.573030162
FBtr0070051	0.631977377
FBtr0070052	0.381124767
FBtr0070053	0.577827114
FBtr0070054	0.638440302
FBtr0070055	0.382995345
FBtr0070056	0.676036723
FBtr0070057	0.599480867
FBtr0070058	0.561510283
FBtr0070059	0.560613478
FBtr0070060	0.559552695
FBtr0070061	0.567324418
FBtr0070062	0.583384108
FBtr0070063	0.497127675
FBtr0070064	0.446771057
FBtr0070065	0.468068645
FBtr0070066	0.296763071
FBtr0070067	0.470578492
FBtr0070069	0.478644956
FBtr0070070	0.541519164
FBtr0070071	0.480325734
FBtr0070072	0.611451472
FBtr0070073	0.588225313
FBtr0070074	0.767398174
FBtr0070075	0.499223758
FBtr0070076	0.350828614
FBtr0070077	0.296748641
FBtr0070078	0.26648808
FBtr0070079	0.503096567
FBtr0070080	0.462310204
FBtr0070081	0.494661939
FBtr0070083	0.50352137
FBtr0070084	0.436169151
FBtr0070085	0.341450267
FBtr0070086	0.402231987
FBtr0070088	0.443001451
FBtr0070089	0.640394447
FBtr0070091	0.521050242
FBtr0070092	0.674038035
FBtr0070093	0.748137237
