flybase_gene_id	flybase_symbol	TSS.rep1.mef2_06to08h	TSS.rep2.mef2_06to08h
FBgn0000008	a	3.159143318	5.231440408
FBgn0000014	abd-A	2.336780593	4.654421271
FBgn0000015	Abd-B	0.81525466	1.617805834
FBgn0000017	Abl	-0.404226166	-1.232128876
FBgn0000018	abo	0.891086073	3.024095971
FBgn0000022	ac	2.210207913	3.936101826
FBgn0000024	Ace	1.560440761	1.948212741
FBgn0000028	acj6	-1.06248959	-0.762643593
FBgn0000032	Acph-1	1.049122401	1.270371464
FBgn0000036	nAcRalpha-96Aa	-0.664525604	-2.335222369
FBgn0000037	mAcR-60C	-3.162025264	-0.788522225
FBgn0000038	nAcRbeta-64B	-0.676598436	-0.357659759
FBgn0000039	nAcRalpha-96Ab	-0.577062763	0.435295784
FBgn0000042	Act5C	3.363465429	5.021293181
FBgn0000043	Act42A	2.839643557	5.305690074
FBgn0000044	Act57B	3.801982303	5.804586209
FBgn0000045	Act79B	0.703045156	-0.441847468
FBgn0000046	Act87E	3.206507494	4.979312494
FBgn0000047	Act88F	-0.470147559	-1.136551216
FBgn0000052	ade2	0.837974736	1.344613118
FBgn0000053	ade3	1.974347178	3.250772619
FBgn0000054	Adf1	0.941285454	3.749956395
FBgn0000055	Adh	1.101009142	0.618294768
FBgn0000056	Adhr	1.101009142	0.618294768
FBgn0000057	adp	-1.19855114	-0.601362686
FBgn0000061	al	1.274073851	2.524376904
FBgn0000063	ald	-0.870793966	1.401743225
FBgn0000064	Ald	2.713614398	3.978542467
FBgn0000071	Ama	3.09556319	5.277983967
FBgn0000075	amd	1.546319653	1.872701097
FBgn0000077	amx	-0.969380186	0.578125936
FBgn0000078	Amy-d	-0.451531881	-3.647166376
FBgn0000079	Amy-p	-4.726809882	-0.429574941
FBgn0000083	AnnIX	3.135011656	5.101971898
FBgn0000084	AnnX	0.422937237	-0.402053878
FBgn0000092	CG2650	-0.664525604	-0.407978712
FBgn0000097	aop	3.724106772	5.896573462
FBgn0000099	ap	1.571035876	4.186856497
FBgn0000100	RpLP0	2.233630445	4.912286591
FBgn0000108	Appl	-1.470147559	-0.713255566
FBgn0000109	Aprt	-0.460738645	1.632293578
FBgn0000114	aret	-0.10757748	-1.039483798
FBgn0000115	Arf72A	-0.216473048	1.235264028
FBgn0000116	Argk	2.170171167	3.636793869
FBgn0000117	arm	2.399258241	4.631722536
FBgn0000119	arr	2.289010434	5.322061276
FBgn0000120	Arr1	0.329827833	-1.817091377
FBgn0000121	Arr2	-1.162025264	-2.304278662
FBgn0000137	ase	-0.886390821	0.219567093
FBgn0000139	ash2	0.574940331	2.188883979
FBgn0000140	asp	1.902546738	3.571913312
FBgn0000146	aub	-0.099015466	0.44183863
FBgn0000147	aur	0.387661762	2.618479244
FBgn0000150	awd	1.366842675	4.082811317
FBgn0000152	Axs	0.446783979	1.217178525
FBgn0000153	b	-0.799455184	-1.532995356
FBgn0000157	Dll	3.119759233	5.39746662
