NAME	CHR	BEG	END	CLASS	F:M SLOPE	F10	F11	F12	U13	F14A	U14A	F14B	F14B_r2	F14C	F14C_r2	F14D	U14D	M10	M11	M12	M13	M14A	M14A_r2	M14B	M14B_r2	M14C	M14C_r2	M14D	M14D_r2	w1_F10	w1_F11	w1_F12	w1_U13	w1_F14A	w1_U14A	w1_F14B	w1_F14B_r2	w1_F14C	w1_F14C_r2	w1_F14D	w1_U14D	w1_M10	w1_M11	w1_M12	w1_M13	w1_M14A	w1_M14A_r2	w1_M14B	w1_M14B_r2	w1_M14C	w1_M14C_r2	w1_M14D	w1_M14D_r2	cas_F10	cas_F11	cas_F12	cas_U13	cas_F14A	cas_U14A	cas_F14B	cas_F14B_r2	cas_F14C	cas_F14C_r2	cas_F14D	cas_U14D	cas_M10	cas_M11	cas_M12	cas_M13	cas_M14A	cas_M14A_r2	cas_M14B	cas_M14B_r2	cas_M14C	cas_M14C_r2	cas_M14D	cas_M14D_r2
128up	2R	7924810	7926357	mat	1.093704078	103.24	89.7	95.07	83.99	49.51	39	44.88	42.42	36.3	27.4	35.64	32.53	97.29	76.26	94.38	64.46	52.66	49.14	36.41	42.12	35.85	33.37	30.36	32.65	102.85	89.7	94.42	83.99	49.51	39	44.51	41.55	31.28	24.88	26.21	24.55	97.29	76.26	94.38	64.46	52.1	48.51	36.41	42.12	28.75	30.16	20.24	23.96	0.39	0	0.65	0	0	0	0.37	0.87	5.02	2.52	9.43	7.98	0	0	0	0	0.56	0.63	0	0	7.1	3.21	10.12	8.69
14-3-3epsilon	3R	14068252	14074388	mat	1.011589887	1063.28	957.38	1300.41	1385.28	1123.37	1264.96	993.54	1608.84	1552.76	1591.29	1625.3	1569.57	1257.24	861.66	1230.91	1399.05	1210.44	1230.7	1088.2	1361.7	1540.71	1500.3	1292.97	1601.21	1063.28	956.4	1298.4	1382.7	1123.37	1260.93	985.6	1600.13	1505.04	1559.63	1563.47	1502.55	1256.11	861.66	1229.18	1399.05	1208.94	1227.24	1085.13	1356.42	1474.62	1467.85	1236.25	1508.54	0	0.98	2.01	2.58	0	4.03	7.94	8.71	47.72	31.66	61.83	67.02	1.13	0	1.73	0	1.5	3.46	3.07	5.28	66.09	32.45	56.72	92.67
14-3-3zeta	2R	5987192	5995979	mat	1.029199299	484.54	377.29	610.11	604.96	507.27	440.57	359.13	488.56	382.55	414.34	396.89	414.87	550.95	312	581.16	589.49	474.37	456.25	365.17	490.2	367.4	421.68	335.1	415.06																																																
140up	3R	9949939	9951252	matzyg	1.065394155	15.74	7.8	7.64	2.52	0.82	0.98	1.18	1.21	7.06	5.74	9.97	8.82	12.81	4.14	6.43	4.26	0.79	0.94	1.6	1.24	10.11	5.13	9.25	10.05	15.74	7.8	7.64	2.52	0	0	0	0	4.85	0	6.28	3.61	12.81	0	6.43	4.26	0	0	0	0	6.43	2.43	6.17	5.24	0	0	0	0	0	0	0	0	2.21	0	3.69	5.21	0	0	0	0	0	0	0	0	3.68	2.7	3.08	4.81
18w	2R	15999015	16004437	zyg	1.052446698	0	0	0.03	1.72	1.87	3.54	9.38	31.03	43.73	37.72	45.03	79.18	0	0	0.08	0.1	1.03	1.91	17.16	13.38	37.42	32.48	43.11	36.04	0	0	0	0	0	0	6	16.55	24.89	19.51	19.56	30.23	0	0	0	0	0	0	9.9	0	19.75	13.26	19.68	19.35	0	0	0	0	0	0	3.38	14.48	18.84	18.21	25.47	48.95	0	0	0	0	0	0	7.26	0	17.67	19.22	23.43	16.69
26-29-p	3L	13987334	13989678	mat	1.038235379	895.37	593.27	398.9	260.64	27.5	58.04	75.75	50.25	7.56	16.55	5.04	3.98	800.13	566.73	482.45	266	63.76	69.32	28.88	76.21	5.62	26.38	6.47	3.43	893.56	592.72	398.37	259.91	27.5	57.71	75.75	50.25	6.25	16.55	4.45	0	799.42	566.3	482.45	266	63.76	69.32	28.88	75.92	5.62	26.38	6.47	3.43	1.81	0.55	0.53	0.73	0	0.33	0	0	1.31	0	0.59	0	0.71	0.43	0	0	0	0	0	0.29	0	0	0	0
312	3L	1351138	1352853	mat	0.93859554	13.79	16.82	11.34	10.95	10.15	8.55	8.91	8.17	11.4	0	11.95	9.81	17.35	15.03	14.36	11.53	11.09	9.74	8.01	8.65	11.78	9.27	10.82	12.21																																																
4EHP	3R	19893084	19934671	mat	1.021572667	90.8	67.55	68.15	29.84	16.07	11.22	7.99	10.97	5.35	8.08	12.53	11.15	84.52	78.63	45.21	36.96	17.3	13.24	7.91	13.71	10.38	7.33	11.36	7.98	90.8	67.55	68.15	29.84	16.07	10.42	7.99	10.97	5.35	6.46	7.12	5.83	84.52	78.63	45.21	36.96	17.3	13.24	7.91	13.09	5.59	6.15	5.68	4.24	0	0	0	0	0	0.8	0	0	0	1.62	5.41	5.32	0	0	0	0	0	0	0	0.62	4.79	1.18	5.68	3.74
5-HT1A	2R	14977765	15009463	zyg	1.423180593	0	0.03	0	0.02	0.01	0	0.03	0	0.17	0.07	0.35	0.45	0	0	0	0	0.01	0	0.04	0	0.14	0.15	0.23	0.22																																																
5-HT1B	2R	14909829	14920128		2.666666667	0	0	0	0	0	0	0	0	0.08	0.02	0.07	0	0	0	0	0	0	0	0	0	0.03	0.03	0	0.07																																																
5-HT2	3R	438596	459026	zyg	1.293337956	0	0	0	0.07	0.62	0.76	0.16	0.57	4.65	1.47	3.67	9.65	0	0	0.03	0.14	0.09	0.19	0.18	0.16	2.88	0.9	3.44	4.27																																																
5-HT7	3R	26794863	26842569		3	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0																																																
5PtaseI	3R	20866148	20870857	mat	1.130266825	26.03	9.88	16.75	5.43	6.19	2.24	1.37	1.98	0.3	0.65	0.36	0.62	23.77	8.72	10.54	8.53	4.4	3.67	1.6	3.46	0.37	0.62	0.31	0.66	26.03	9.88	16.75	0	0	0	0	0	0	0	0	0	23.77	8.72	10.54	8.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7B2	3R	1202475	1203701	zyg	1.204603927	0	0	0	0.44	0.75	0.18	0.46	0.68	0.7	0.21	0.45	0.58	0	0	0.26	0	0.42	0.23	0.16	0.5	0.33	0.4	0.6	0.68																																																
7SLRNA	3R	2648219	2648518		0.545905653	30.21	100.99	2.41	7.9	7.55	5.86	4.82	1.92	2.63	0.82	2.88	2.57	1.76	0.86	14.04	1.12	5.87	3.37	8	1.45	2.36	3.46	16.73	16.37																																																
825-Oak	3L	19464810	19465328		0.986948572	0.51	1.02	0.47	0.53	0.96	1.18	1.65	0.81	0.5	0.64	0.24	0.41	0.57	1.2	0.7	0.46	1.09	1.04	0.96	1.08	0.41	0.74	0.63	0.37																																																
a	2R	18024493	18060346	mat	0.944101855	21.29	28.8	27.16	5.83	2.15	0.96	0.73	1.21	3.78	2.68	5.02	6.99	22.25	32.7	20.73	13.9	2.42	2.82	1.06	1.62	3.21	2.16	4.43	5.53	20.38	28.8	27.16	5.83	0	0	0	0	0	0	5.02	6.99	22.25	32.7	20.38	13.9	0	0	0	0	0	0	0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0
a10	3L	17016221	17016841		0.875825627	0	0	0	0	0.51	0.09	0	0	0.63	0.11	0	0	0	0	0	0	0.52	0	0	0.2	0	0	0.18	0																																																
A16	2L	13019574	13021307	matzyg	1.023863764	37.58	30	10.32	4.61	3.96	5.7	8.6	7.43	33.96	24.57	43.07	33.36	22.51	27.82	8.91	2.1	5.21	4.85	9.46	8.14	44.54	22.27	38.21	29.35																																																
A3-3	X	1136772	1168682	mat	0.794814492	1	0.81	1.32	0.81	0.11	0.03	0.07	0.07	0.03	0.09	0.08	0.06	1.03	1.67	1.03	0.75	0.16	0.04	0.05	0.1	0.04	0.12	0.03	0																																																
a6	X	1587647	1589922	mat	0.895707698	48.69	50.37	45.24	43.28	41.29	30.49	38.95	27.23	12.99	14.87	10.97	9.28	38.42	73.24	47.01	50.99	44.37	45.12	26.11	37.18	7.53	15.41	10.06	5.58	48.69	50.37	44.37	43.28	41.29	30.49	38.17	27.23	7.79	0	6.75	9.28	38.42	73.24	47.01	50.99	44.37	45.12	26.11	37.18	0	15.41	10.06	0	0	0	0.87	0	0	0	0.78	0	5.2	0	4.22	0	0	0	0	0	0	0	0	0	0	0	0	0
Aac11	2L	17475490	17477886	matzyg	1.045306982	58.98	41.25	77.85	64.42	71.95	67.2	47.9	126.41	157.6	175.16	196.79	206.55	75.94	38.46	66.28	81.26	75.25	76.89	63.07	91.49	167.29	178.83	139.19	108.53	58.98	41.25	77.85	63.46	70.62	60.2	35.92	110.61	131.97	119.11	124.29	134.85	75.94	0	66.28	81.26	73.34	73.93	53.37	86.48	116.84	124.13	92.3	79.59	0	0	0	0.96	1.33	7	11.97	15.8	25.63	56.05	72.5	71.7	0	0	0	0	1.91	2.96	9.7	5.01	50.45	54.7	46.89	28.94
Aats-ala	2L	8378255	8381756	matzyg	1.116743154	60.63	44.88	14.78	3.93	2.82	3.22	6.11	8.87	29.43	27.67	28.47	29.06	56.14	32.43	11.75	4.68	3.34	4.29	7.87	6.24	30.13	27.61	26.42	17.52																																																
Aats-ala-m	3L	5139204	5142954	matzyg	1.09130517	23.78	14.15	11.58	3.08	1.12	0.38	0.48	1.3	7.42	8.88	8.04	12.06	17.09	13.76	9.17	5.41	0.94	0.93	0.72	0.92	11.68	5.69	8.69	8.82																																																
